No	カードパック	職業	種類	カード名1		カード名2	カード名3	コスト	攻撃力	体力	系統	画像	レア度	シンクロ	熟練度	ダンジョン	おうえん	スキルリンク	占い	パワフルバッジ	BET	絶好調	必殺技	メタルボディ
360	01スタンダード	共通	ユニット	【コープスフライ】	【コープスフライ	コープスフライ	コープスフライ	2	2	2	ゾンビ		1											
361	13_星降りの決戦	共通	ユニット	【コーラルディモス】	【コーラルディモス	コーラルディモス	コーラルディモス	3	0	5			0											
362	12_そして伝説は	武闘家	ユニット	【ゴールデンコーン】	【ゴールデンコーン	ゴールデンコーン	ゴールデンコーン	1	1	3			0		a									
363	01スタンダード	共通	ユニット	【ゴールデンスライム】	【ゴールデンスライム	ゴールデンスライム	ゴールデンスライム	4	2	3	スライム		3											a
364	09_再会と誓い	共通	ユニット	【ゴールデンタイタス】	【ゴールデンタイタス	ゴールデンタイタス	ゴールデンタイタス	10	8	8	あくま		2											
365	08_カジノ	共通	ユニット	【ゴールデントーテム】	【ゴールデントーテム	ゴールデントーテム	ゴールデントーテム	4	3	3	スライム		1											a
366	11_英雄たちの凱旋	戦士	ユニット	【ゴールデンドラゴン】	【ゴールデンドラゴン	ゴールデンドラゴン	ゴールデンドラゴン	5	5	3	ドラゴン		1											
367	01スタンダード	共通	ユニット	【ゴールドオーク】	【ゴールドオーク	ゴールドオーク	ゴールドオーク	5	4	3			1											
368	08_カジノ	武闘家	特技	【ゴールドシャワー】	【ゴールドシャワー	ゴールドシャワー	ゴールドシャワー	2					1											
369	12_そして伝説は	共通	ユニット	【ゴールドタヌ】	【ゴールドタヌ	ゴールドタヌ	ゴールドタヌ	2	2	2			2											
370	08_カジノ	商人	特技	【ゴールドなげ】	【ゴールドなげ	ゴールドなげ	ゴールドなげ	6					1											
371	01スタンダード	武闘家	特技	【ゴールドフィンガー】	【ゴールドフィンガー	ゴールドフィンガー	ゴールドフィンガー	6					1											
372	03不死鳥	商人	ユニット	【ゴールドマン】	【ゴールドマン	ゴールドマン	ゴールドマン	4	4	4	物質		2											
373	13_星降りの決戦	戦士	ユニット	【ゴールドマント】	【ゴールドマント	ゴールドマント	ゴールドマント	4	4	5	ゾンビ		2											
374	01スタンダード	共通	ユニット	【ゴーレム】	【ゴーレム	ゴーレム	ゴーレム	3	3	3	物質		0											
375	06_小さな希望の	僧侶	ユニット	【ごくらくちょう】	【ごくらくちょう	ごくらくちょう	ごくらくちょう	4	4	4			2	a										
376	01スタンダード	共通	ユニット	【コサックシープ】	【コサックシープ	コサックシープ	コサックシープ	3	4	3			1											
377	11_英雄たちの凱旋	武闘家	ユニット	【コスモスライム】	【コスモスライム	コスモスライム	コスモスライム	1	2	1	スライム		0											
378	12_そして伝説は	僧侶	ユニット	【ゴッドライダー】	【ゴッドライダー	ゴッドライダー	ゴッドライダー	7	6	6	スライム		2											
379	04もりもり	戦士	ユニット	【ことだまつかい】	【ことだまつかい	ことだまつかい	ことだまつかい	1	2	2	ゾンビ		2											
380	07_光と闇の	武闘家	ユニット	【コトブキーノ】	【コトブキーノ	コトブキーノ	コトブキーノ	4	3	2			2											
381	04もりもり	共通	ユニット	【コドラ】	【コドラ	コドラ	コドラ	4	4	4	ドラゴン		2											
382	08_カジノ	武闘家	ユニット	【ゴルゴンゾーラ】	【ゴルゴンゾーラ	ゴルゴンゾーラ	ゴルゴンゾーラ	3	2	5	物質		1								a			
383	10_破壊と創造	占い師	ユニット	【ゴルドン】	【ゴルドン	ゴルドン	ゴルドン	4	2	5	物質		2											
384	08_カジノ	武闘家	ユニット	【ゴレオン将軍】	【ゴレオン将軍	ゴレオン将軍	ゴレオン将軍	5	2	7			3					a			a			
385	01スタンダード	商人	ユニット	【ごろつき】	【ごろつき	ごろつき	ごろつき	4	4	3			0											
386	09_再会と誓い	共通	ユニット	【コンガオンガ】	【コンガオンガ	コンガオンガ	コンガオンガ	4	3	4	物質		1											
387	01スタンダード	共通	ユニット	【コングヘッド】	【コングヘッド	コングヘッド	コングヘッド	4	4	3			1											
388	05_勇気の英雄譚	占い師	ユニット(トークン)	【コンジャラー】	【コンジャラー	コンジャラー	コンジャラー	3	2	4			1											
389	02力の咆哮	魔剣士	ユニット	【ゴンズ】	【ゴンズ	ゴンズ	ゴンズ	4	2	4			2				a							
390	12_そして伝説は	共通	ユニット(トークン)	【こんぶ大将】	【こんぶ大将	こんぶ大将	こんぶ大将	1	1	1			2											
391	01スタンダード	戦士	武器(トークン)	【こんぼう】	【こんぼう	こんぼう	こんぼう	1	2	1			0											
392	01スタンダード	共通	ユニット	【サーベルきつね】	【サーベルきつね	サーベルきつね	サーベルきつね	2	2	2			0											
393	11_英雄たちの凱旋	共通	特技(トークン)	【さあ 行こう！】	【さあ 行こう！	さあ 行こう！	さあ行こう！	0					2											
394	03不死鳥	共通	ユニット	【サイおとこ】	【サイおとこ	サイおとこ	サイおとこ	2	1	4			0											
395	08_カジノ	共通	ユニット	【サイクロプス】	【サイクロプス	サイクロプス	サイクロプス	6	6	6	あくま		2								a			
396	11_英雄たちの凱旋	占い師	ユニット	【サイコマスター】	【サイコマスター	サイコマスター	サイコマスター	6	0	7	あくま		2											
397	05_勇気の英雄譚	占い師	ユニット	【サイコロン】	【サイコロン	サイコロン	サイコロン	4	3	2			2											
398	10_破壊と創造	盗賊	ユニット	【ザイル】	【ザイル	ザイル	ザイル	2	3	2			3											
399	01スタンダード	共通	ユニット	【サイレス】	【サイレス	サイレス	サイレス	4	4	3			0											
400	13_星降りの決戦	共通	ユニット	【サウルスロード】	【サウルスロード	サウルスロード	サウルスロード	3	4	3	ドラゴン		1											
401	11_英雄たちの凱旋	僧侶	武器	【ザオの杖】	【ザオの杖	ザオの杖	ザオの杖	4	2	2			1											
402	00ベーシック	僧侶	特技	【ザオラル】	【ザオラル	ザオラル	ザオラル	4					1											
403	02力の咆哮	僧侶	特技	【ザオリク】	【ザオリク	ザオリク	ザオリク	6					2											
404	00ベーシック	僧侶	特技	【ザキ】	【ザキ	ザキ	ザキ	5					1											
405	08_カジノ	武闘家	特技	【サキュバスウィンク】	【サキュバスウィンク	サキュバスウィンク	サキュバスウィンク	2					0											
406	10_破壊と創造	商人	特技	【さくせんがえ】	【さくせんがえ	さくせんがえ	さくせんがえ	2					0											
407	12_そして伝説は	戦士	ユニット	【さそりアーマー】	【さそりアーマー	さそりアーマー	さそりアーマー	4	3	5			1		a									
408	00ベーシック	武闘家	ユニット	【さそりばち】	【さそりばち	さそりばち	さそりばち	3	1	1			1											
409	11_英雄たちの凱旋	魔剣士	ユニット	【サタンパピー】	【サタンパピー	サタンパピー	サタンパピー	2	2	1	あくま		1											
410	03不死鳥	戦士	ユニット	【サタンメイル】	【サタンメイル	サタンメイル	サタンメイル	4	4	4	物質		2											
411	07_光と闇の	商人	ユニット	【さつじんえい】	【さつじんえい	さつじんえい	さつじんえい	1	2	1			0											
412	01スタンダード	商人	ユニット	【ザバン】	【ザバン	ザバン	ザバン	3	3	3			2											
413	03不死鳥	共通	ユニット	【サブナック】	【サブナック	サブナック	サブナック	3	4	4			1											
414	08_カジノ	占い師	ユニット(トークン)	【サボテンゴールド】	【サボテンゴールド	サボテンゴールド	サボテンゴールド	1	0	1			1											
415	02力の咆哮	共通	ユニット	【サボテンボール】	【サボテンボール	サボテンボール	サボテンボール	2	3	1			0											
416	01スタンダード	共通	ユニット	【さまようたましい】	【さまようたましい	さまようたましい	さまようたましい	3	1	4			0											
417	01スタンダード	共通	ユニット	【さまようよろい】	【さまようよろい	さまようよろい	さまようよろい	5	4	3	物質		1											
418	12_そして伝説は	魔剣士	ユニット	【さまようロトのよろい】	【さまようロトのよろい	さまようロトのよろい	さまようロトのよろい	9	5	4	物質		2											
419	11_英雄たちの凱旋	共通	英雄	【サマルトリアの王子】	【サマルトリアの王子	サマルトリアの王子	サマルトリアの王子	5					3											
420	01スタンダード	僧侶	特技	【ザラキ】	【ザラキ	ザラキ	ザラキ	7					2											
421	11_英雄たちの凱旋	僧侶	特技	【ザラキーマ】	【ザラキーマ	ザラキーマ	ザラキーマ	13					2											
422	08_カジノ	僧侶	ユニット(トークン)	【サラマンダー】	【サラマンダー	サラマンダー	サラマンダー	8	8	8	ドラゴン		2											
423	12_そして伝説は	共通	建物(トークン)	【ざわめく風の坑道】	【ざわめく風の坑道	ざわめく風の坑道	ざわめく風の坑道	2		1	地図		1			a								
424	06_小さな希望の	共通	ユニット	【ザンクローネ】	【ザンクローネ	ザンクローネ	ザンクローネ	5	1	6	冒険者		3											
425	11_英雄たちの凱旋	盗賊	ユニット(トークン)	【さんぞく】	【さんぞく	さんぞく	さんぞく	2	3	2			2											
426	01スタンダード	戦士	ユニット	【さんぞくウルフ】	【さんぞくウルフ	さんぞくウルフ	さんぞくウルフ	4	5	4			0											
427	11_英雄たちの凱旋	盗賊	ユニット	【さんぞくのカシラ】	【さんぞくのカシラ	さんぞくのカシラ	さんぞくのカシラ	8	10	10			3											
428	03不死鳥	戦士	武器	【さんぞくのサーベル】	【さんぞくのサーベル	さんぞくのサーベル	さんぞくのサーベル	1	1	3			0											
429	11_英雄たちの凱旋	盗賊	ユニット(トークン)	【さんぞくマージ】	【さんぞくマージ	さんぞくマージ	さんぞくマージ	2	2	3			2											
430	11_英雄たちの凱旋	盗賊	ユニット(トークン)	【さんぞく兵】	【さんぞく兵	さんぞく兵	さんぞく兵	4	4	4			2											
431	12_そして伝説は	占い師	ユニット	【サンダーサタン】	【サンダーサタン	サンダーサタン	サンダーサタン	3	3	3	あくま		0		a									
432	10_破壊と創造	武闘家	ユニット	【サンダーラット】	【サンダーラット	サンダーラット	サンダーラット	2	1	4			0											
433	07_光と闇の	共通	ユニット	【サンチョ】	【サンチョ	サンチョ	サンチョ	3	2	4	冒険者		2											
434	03不死鳥	共通	ユニット	【サンディ】	【サンディ	サンディ	サンディ	1	1	1	冒険者		3											
435	09_再会と誓い	商人	武器	【しあわせのそろばん】	【しあわせのそろばん	しあわせのそろばん	しあわせのそろばん	3	1	3			0											
436	00ベーシック	商人	特技(トークン)	道具:【しあわせのたね】	道具:【しあわせのたね	しあわせのたね	しあわせのたね	1					0											
437	00ベーシック	商人	特技	【しあわせの巻物】	【しあわせの巻物	しあわせの巻物	しあわせの巻物	2					1											
438	02力の咆哮	商人	特技	【しあわせの杖】	【しあわせの杖	しあわせの杖	しあわせの杖	2					2											
439	11_英雄たちの凱旋	商人	建物(トークン)	【しあわせの箱】	【しあわせの箱	しあわせの箱	しあわせの箱	1		4	建物B		2											
440	05_勇気の英雄譚	共通	ユニット	【シーゴーレム】	【シーゴーレム	シーゴーレム	シーゴーレム	3	2	4	物質		2											
441	02力の咆哮	共通	ユニット(トークン)	【シードッグ】	【シードッグ	シードッグ	シードッグ	5	2	2			0											
442	00ベーシック	盗賊	武器(トークン)	【シーブスナイフ】	【シーブスナイフ	シーブスナイフ	シーブスナイフ	2	1	2			0											
443	02力の咆哮	商人	ユニット	【シーメーダ】	【シーメーダ	シーメーダ	シーメーダ	3	3	3			2				a							
444	09_再会と誓い	商人	ユニット	【シーライオン】	【シーライオン	シーライオン	シーライオン	3	1	5			1											
445	08_カジノ	戦士	特技	【シールドアタック】	【シールドアタック	シールドアタック	シールドアタック	2					0											
446	00ベーシック	共通	ユニット	【シールドオーガ】	【シールドオーガ	シールドオーガ	シールドオーガ	4	4	4			1											
447	00ベーシック	共通	ユニット	【シールドこぞう】	【シールドこぞう	シールドこぞう	シールドこぞう	2	2	2			0											
448	07_光と闇の	商人	ユニット	【ジェリーマン】	【ジェリーマン	ジェリーマン	ジェリーマン	6	4	5			2											
449	09_再会と誓い	盗賊	特技	【しきりなおし】	【しきりなおし	しきりなおし	しきりなおし	2					0											
450	13_星降りの決戦	武闘家	ユニット	【じごくのおくり火】	【じごくのおくり火	じごくのおくり火	じごくのおくり火	3	2	3	物質		0											
451	05_勇気の英雄譚	魔剣士	ユニット(トークン)	【じごくのきし】	【じごくのきし	じごくのきし	じごくのきし	4	4	4	ゾンビ		1											
452	04もりもり	戦士	武器	【じごくのサーベル】	【じごくのサーベル	じごくのサーベル	じごくのサーベル	8	4	2			1											
453	08_カジノ	魔剣士	ユニット	【じごくのざりがに】	【じごくのざりがに	じごくのざりがに	じごくのざりがに	4	3	6			1											
454	01スタンダード	共通	ユニット	【じごくのつかい】	【じごくのつかい	じごくのつかい	じごくのつかい	6	3	3	あくま		2											
455	03不死鳥	共通	ユニット	【じごくのヌエ】	【じごくのヌエ	じごくのヌエ	じごくのヌエ	8	8	6			1											
456	06_小さな希望の	戦士	ユニット	【じごくのハサミ】	【じごくのハサミ	じごくのハサミ	じごくのハサミ	2	3	2			2									a		
457	01スタンダード	戦士	ユニット	【じごくのもんばん】	【じごくのもんばん	じごくのもんばん	じごくのもんばん	4	4	4	あくま		0											
458	07_光と闇の	戦士	武器	【じごくのやいば】	【じごくのやいば	じごくのやいば	じごくのやいば	3	2	2			0											
459	10_破壊と創造	魔剣士	ユニット	【じごくのよろい】	【じごくのよろい	じごくのよろい	じごくのよろい	5	3	2	物質		1											
460	11_英雄たちの凱旋	共通	ユニット	【じごくの番犬】	【じごくの番犬	じごくの番犬	じごくの番犬	4	2	4			0											
461	01スタンダード	戦士	特技	【ジゴスパーク】	【ジゴスパーク	ジゴスパーク	ジゴスパーク	6					2										a	
462	10_破壊と創造	共通	ユニット	【ジゴック】	【ジゴック	ジゴック	ジゴック	3	2	4	あくま		2											
463	04もりもり	僧侶	武器	【しっぷうのレイピア】	【しっぷうのレイピア	しっぷうのレイピア	しっぷうのレイピア	4	3	2			0											
464	11_英雄たちの凱旋	僧侶	特技	【しっぷうの旋律】	【しっぷうの旋律	しっぷうの旋律	しっぷうの旋律	3					2											
465	00ベーシック	戦士	特技	【しっぷう突き】	【しっぷう突き	しっぷう突き	しっぷう突き	1					0											
466	01スタンダード	共通	ユニット	【シドー】	【シドー	シドー	シドー	9	5	5	魔王		3											
467	01スタンダード	共通	ユニット	【しにがみ】	【しにがみ	しにがみ	しにがみ	2	1	2	ゾンビ		0											
468	01スタンダード	戦士	ユニット	【しにがみきぞく】	【しにがみきぞく	しにがみきぞく	しにがみきぞく	5	4	5	ゾンビ		1											
469	01スタンダード	共通	ユニット	【しにがみのきし】	【しにがみのきし	しにがみのきし	しにがみのきし	5	5	5	あくま		0											
470	12_そして伝説は	魔剣士	ユニット	【しにがみへい】	【しにがみへい	しにがみへい	しにがみへい	5	4	4	ゾンビ		0		a									
471	03不死鳥	武闘家	ユニット	【しのどれい】	【しのどれい	しのどれい	しのどれい	3	2	4	ゾンビ		0											
472	09_再会と誓い	盗賊	ユニット	【しびれだんびら】	【しびれだんびら	しびれだんびら	しびれだんびら	2	3	2	物質		2											
473	11_英雄たちの凱旋	商人	ユニット	【しましまキャット】	【しましまキャット	しましまキャット	しましまキャット	2	2	2			0											
474	11_英雄たちの凱旋	僧侶	ユニット	【じめじめバブル】	【じめじめバブル	じめじめバブル	じめじめバブル	3	3	4	スライム		1											
475	04もりもり	共通	ユニット	【シャーマン】	【シャーマン	シャーマン	シャーマン	1	2	1	あくま		1							a				
476	09_再会と誓い	僧侶	ユニット	【シャール】	【シャール	シャール	シャール	2	2	3	冒険者		3											
477	10_破壊と創造	武闘家	ユニット	【ジャイアントバット】	【ジャイアントバット	ジャイアントバット	ジャイアントバット	2	2	2			0											
478	02力の咆哮	占い師	ユニット	【シャイニング】	【シャイニング	シャイニング	シャイニング	3	3	4			1											
479	07_光と闇の	僧侶	特技	【シャイニングボウ】	【シャイニングボウ	シャイニングボウ	シャイニングボウ	1					1										a	
480	01スタンダード	共通	ユニット	【ジャガーメイジ】	【ジャガーメイジ	ジャガーメイジ	ジャガーメイジ	3	3	3			1											
481	08_カジノ	武闘家	武器	【しゃくねつのツメ】	【しゃくねつのツメ	しゃくねつのツメ	しゃくねつのツメ	4	3	2			2								a			
482	04もりもり	共通	ユニット	【ジャックポッター】	【ジャックポッター	ジャックポッター	ジャックポッター	7	5	5	物質		0											
483	05_勇気の英雄譚	共通	ユニット	【シャドウベビー】	【シャドウベビー	シャドウベビー	シャドウベビー	3	3	2			0											
484	01スタンダード	共通	ユニット	【シャドー】	【シャドー	シャドー	シャドー	2	3	2			0											
485	03不死鳥	魔法使い	ユニット	【シャドーサタン】	【シャドーサタン	シャドーサタン	シャドーサタン	6	4	7	あくま		2											
486	02力の咆哮	魔剣士	ユニット	【ジャミ】	【ジャミ	ジャミ	ジャミ	4	5	4			2											
487	11_英雄たちの凱旋	魔法使い	ユニット	【ジャミ＆ゴンズ】	【ジャミ＆ゴンズ	ジャミ＆ゴンズ	ジャミ＆ゴンズ	3	4	4			2											
488	03不死鳥	共通	ユニット	【ジャミラス】	【ジャミラス	ジャミラス	ジャミラス	7	7	4	魔王		3											
489	10_破壊と創造	僧侶	ユニット	【ジュエルン】	【ジュエルン	ジュエルン	ジュエルン	2	1	1	物質		2											
490	01スタンダード	魔剣士	ユニット	【シュバルツシュルト】	【シュバルツシュルト	シュバルツシュルト	シュバルツシュルト	8	6	5	物質		1											
491	10_破壊と創造	共通	ユニット	【シュプリンガー】	【シュプリンガー	シュプリンガー	シュプリンガー	5	5	4	ドラゴン		1											
492	01スタンダード	占い師	ユニット	【ジュリアンテ】	【ジュリアンテ	ジュリアンテ	ジュリアンテ	7	5	5			3						a					
493	00ベーシック	僧侶	武器	【ショートボウ】	【ショートボウ	ショートボウ	ショートボウ	2	1	2			0											
494	08_カジノ	共通	ユニット	【ジラフマスター】	【ジラフマスター	ジラフマスター	ジラフマスター	4	3	5			1								a			
495	11_英雄たちの凱旋	共通	ユニット	【しりょうのきし】	【しりょうのきし	しりょうのきし	しりょうのきし	2	2	3	ゾンビ		0											
496	03不死鳥	共通	特技(トークン)	【シルバーオーブ】	【シルバーオーブ	シルバーオーブ	シルバーオーブ	3					2											
497	03不死鳥	武闘家	武器	【シルバークロー】	【シルバークロー	シルバークロー	シルバークロー	4	3	3			0											
498	01スタンダード	共通	ユニット	【シルバーデビル】	【シルバーデビル	シルバーデビル	シルバーデビル	4	3	3	あくま		1											
499	09_再会と誓い	武闘家	ユニット	【シルバーベア】	【シルバーベア	シルバーベア	シルバーベア	3	2	4			2											
500	06_小さな希望の	武闘家	ユニット	【シルバーマント】	【シルバーマント	シルバーマント	シルバーマント	4	2	6	ゾンビ		0									a		
501	09_再会と誓い	魔法使い	ユニット	【シルバリヌス】	【シルバリヌス	シルバリヌス	シルバリヌス	8	7	7	あくま		1											
502	02力の咆哮	共通	ユニット	【シルビア】	【シルビア	シルビア	シルビア	4	3	4	冒険者		3											
503	13_星降りの決戦	共通	ユニット	【しん・りゅうおう】	【しん・りゅうおう	しん・りゅうおう	しん・りゅうおう	7	4	6	魔王		3											
504	09_再会と誓い	武闘家	特技	【しんくうげり】	【しんくうげり	しんくうげり	しんくうげり	2					2											
505	07_光と闇の	戦士	特技	【しんくうは】	【しんくうは	しんくうは	しんくうは	3					0											
506	01スタンダード	戦士	特技	【しんくう斬り】	【しんくう斬り	しんくう斬り	しんくう斬り	2					0											
507	06_小さな希望の	僧侶	特技	【しんごんのじゅず】	【しんごんのじゅず	しんごんのじゅず	しんごんのじゅず	3					1											
508	08_カジノ	僧侶	特技(トークン)	【しんぴのよろい】	【しんぴのよろい	しんぴのよろい	しんぴのよろい	2					2											
509	01スタンダード	共通	ユニット	【じんめんガエル】	【じんめんガエル	じんめんガエル	じんめんガエル	3	0	1			1											
510	01スタンダード	共通	ユニット	【じんめんじゅ】	【じんめんじゅ	じんめんじゅ	じんめんじゅ	2	1	4			0											
511	04もりもり	占い師	ユニット	【しんりゅう】	【しんりゅう	しんりゅう	しんりゅう	8	5	5	ドラゴン		3											
512	02力の咆哮	共通	ユニット	【スウィートバッグ】	【スウィートバッグ	スウィートバッグ	スウィートバッグ	3	3	3	物質		1											
513	05_勇気の英雄譚	僧侶	ユニット	【スーパーテンツク】	【スーパーテンツク	スーパーテンツク	スーパーテンツク	3	2	4			1											
514	12_そして伝説は	戦士	ユニット	【ズーボー】	【ズーボー	ズーボー	ズーボー	4	4	3	冒険者		3		a		a							
515	06_小さな希望の	共通	ユニット	【スカイドラゴン】	【スカイドラゴン	スカイドラゴン	スカイドラゴン	5	4	6	ドラゴン		2									a		
516	00ベーシック	僧侶	特技	【スカラ】	【スカラ	スカラ	スカラ	1					0											
517	05_勇気の英雄譚	共通	ユニット	【スカルガルー】	【スカルガルー	スカルガルー	スカルガルー	2	2	2			0											
518	13_星降りの決戦	戦士	ユニット	【スカルゴン】	【スカルゴン	スカルゴン	スカルゴン	5	3	6	ドラゴン		0											
519	13_星降りの決戦	共通	ユニット	【スカルライダー】	【スカルライダー	スカルライダー	スカルライダー	3	2	4	ゾンビ		2											
520	01スタンダード	占い師	ユニット	【スキッパー】	【スキッパー	スキッパー	スキッパー	2	2	2	物質		0											
521	05_勇気の英雄譚	魔法使い	特技	【スキルチャージ】	【スキルチャージ	スキルチャージ	スキルチャージ	1					1										a	
522	04もりもり	僧侶	特技	【スクルト】	【スクルト	スクルト	スクルト	2					0											
523	06_小さな希望の	共通	ユニット(トークン)	【スケアフレイル】	【スケアフレイル	スケアフレイル	スケアフレイル	3	2	4	ゾンビ		1											
524	12_そして伝説は	商人	特技	【すけっと呼び】	【すけっと呼び	すけっと呼び	すけっと呼び	7					2											
525	03不死鳥	共通	ユニット	【ずしおうまる】	【ずしおうまる	ずしおうまる	ずしおうまる	4	3	5	あくま		0											
526	01スタンダード	僧侶	ユニット	【スターキメラ】	【スターキメラ	スターキメラ	スターキメラ	5	3	6			0											
527	07_光と闇の	商人	特技	【スタミナのたね】	【スタミナのたね	スタミナのたね	スタミナのたね	2					0											
528	03不死鳥	戦士	ユニット	【ズッキーニャ】	【ズッキーニャ	ズッキーニャ	ズッキーニャ	2	2	2			1											
529	08_カジノ	僧侶	特技	【ズッシード】	【ズッシード	ズッシード	ズッシード	2					0											
530	10_破壊と創造	盗賊	特技	【すてみ】	【すてみ	すてみ	すてみ	2					0											
531	13_星降りの決戦	盗賊	ユニット	【ストーンスライム】	【ストーンスライム	ストーンスライム	ストーンスライム	2	3	1	スライム		0											
532	06_小さな希望の	魔剣士	ユニット	【ストーンビースト】	【ストーンビースト	ストーンビースト	ストーンビースト	3	1	5	あくま		1									a		
533	00ベーシック	共通	ユニット	【ストーンマン】	【ストーンマン	ストーンマン	ストーンマン	5	6	4	物質		0											
534	00ベーシック	武闘家	特技(トークン)	武術:【ストレートパンチ】	武術:【ストレートパンチ	ストレートパンチ	ストレートパンチ	1					0											
535	07_光と闇の	武闘家	ユニット	【ストロングアニマル】	【ストロングアニマル	ストロングアニマル	ストロングアニマル	3	3	4			1											
536	13_星降りの決戦	魔法使い	ユニット	【スノーエルダー】	【スノーエルダー	スノーエルダー	スノーエルダー	7	4	6	ドラゴン		1											
537	11_英雄たちの凱旋	魔法使い	ユニット	【スノードラゴン】	【スノードラゴン	スノードラゴン	スノードラゴン	5	4	3	ドラゴン		2											
538	00ベーシック	盗賊	ユニット	【スノーベビー】	【スノーベビー	スノーベビー	スノーベビー	2	2	2			1											
539	06_小さな希望の	魔法使い	ユニット(トークン)	【スノーホムンクルス】	【スノーホムンクルス	スノーホムンクルス	スノーホムンクルス	5	5	4	物質		1											
540	11_英雄たちの凱旋	盗賊	ユニット	【スノーム】	【スノーム	スノーム	スノーム	2	1	2	スライム		0											
541	02力の咆哮	魔法使い	ユニット	【スノーモン】	【スノーモン	スノーモン	スノーモン	2	2	3	あくま		1											
542	05_勇気の英雄譚	魔剣士	ユニット	【スパイクヘッド】	【スパイクヘッド	スパイクヘッド	スパイクヘッド	1	2	3	物質		1											
543	10_破壊と創造	占い師	ユニット	【スピニー】	【スピニー	スピニー	スピニー	3	2	3	物質		0											
544	03不死鳥	僧侶	特技	【スピリットリンク】	【スピリットリンク	スピリットリンク	スピリットリンク	3					1											
545	09_再会と誓い	占い師	ユニット	【スピンサタン】	【スピンサタン	スピンサタン	スピンサタン	2	3	2			1											
546	04もりもり	商人	特技	【スペクタクルショー】	【スペクタクルショー	スペクタクルショー	スペクタクルショー	6					1											
547	13_星降りの決戦	魔剣士	ユニット	【スペクテット】	【スペクテット	スペクテット	スペクテット	1	2	1	あくま		0											
548	08_カジノ	共通	特技(トークン)	【スペシャルコイン】	【スペシャルコイン	スペシャルコイン	スペシャルコイン	0					2											
549	06_小さな希望の	武闘家	ユニット	【スマイルロック】	【スマイルロック	スマイルロック	スマイルロック	1	2	2	物質		2									a		
550	06_小さな希望の	占い師	ユニット	【スモーク】	【スモーク	スモーク	スモーク	1	0	2			1									a		
551	06_小さな希望の	共通	ユニット	【スモールグール】	【スモールグール	スモールグール	スモールグール	3	2	1			1									a		
552	08_カジノ	魔法使い	特技	【スラ・ストライク】	【スラ・ストライク	スラ・ストライク	スラ・ストライク	2					1											
553	13_星降りの決戦	盗賊	ユニット(トークン)	【スライダークロボ】	【スライダークロボ	スライダークロボ	スライダークロボ	6	6	7	スライム		3											
554	00ベーシック	共通	ユニット	【スライム】	【スライム	スライム	スライム	0	1	1	スライム		0											
555	11_英雄たちの凱旋	僧侶	ユニット	【スライムジェネラル】	【スライムジェネラル	スライムジェネラル	スライムジェネラル	8	6	7	スライム		3				a							
556	06_小さな希望の	武闘家	特技	【スライムスカウト】	【スライムスカウト	スライムスカウト	スライムスカウト	1					0											
557	09_再会と誓い	魔法使い	ユニット	【スライムスノー】	【スライムスノー	スライムスノー	スライムスノー	2	2	2	スライム		2											
558	04もりもり	共通	ユニット	【スライムダーク】	【スライムダーク	スライムダーク	スライムダーク	5	5	5	スライム		0											
559	09_再会と誓い	魔法使い	ユニット	【スライムタール】	【スライムタール	スライムタール	スライムタール	3	3	4	スライム		0											
560	01スタンダード	共通	ユニット	【スライムタワー】	【スライムタワー	スライムタワー	スライムタワー	3	3	3	スライム		1											
561	00ベーシック	共通	ユニット	【スライムつむり】	【スライムつむり	スライムつむり	スライムつむり	1	1	2	スライム		0											
562	05_勇気の英雄譚	魔法使い	ユニット	【スライムツリー】	【スライムツリー	スライムツリー	スライムツリー	3	2	3	スライム		0											
563	00ベーシック	共通	ユニット	【スライムナイト】	【スライムナイト	スライムナイト	スライムナイト	3	2	2	スライム		1											
564	04もりもり	魔法使い	特技	【スライムの心】	【スライムの心	スライムの心	スライムの心	7					1											
565	13_星降りの決戦	僧侶	特技	【スライムパワー】	【スライムパワー	スライムパワー	スライムパワー	5					0											
566	04もりもり	共通	ユニット	【スライムファング】	【スライムファング	スライムファング	スライムファング	1	1	2	スライム		0											
567	04もりもり	武闘家	特技	【スライムフィーバー】	【スライムフィーバー	スライムフィーバー	スライムフィーバー	0					1											
568	13_星降りの決戦	盗賊	ユニット	【スライムブレス】	【スライムブレス	スライムブレス	スライムブレス	3	2	4	スライム		0											
569	00ベーシック	共通	ユニット	【スライムベス】	【スライムベス	スライムベス	スライムベス	1	2	1	スライム		0											
570	04もりもり	武闘家	特技	【スライムホイッスル】	【スライムホイッスル	スライムホイッスル	スライムホイッスル	2					0											
571	11_英雄たちの凱旋	盗賊	ユニット	【スライムボーグ】	【スライムボーグ	スライムボーグ	スライムボーグ	4	4	4	スライム		1											
572	13_星降りの決戦	共通	特技(トークン)	【スライム系のたまご】	【スライム系のたまご	スライム系のたまご	スライム系のたまご	0					0											
573	13_星降りの決戦	共通	特技(トークン)	【???のたまご】	【???のたまご	???のたまご	スライム系のたまご1	0					0											
574	04もりもり	魔法使い	特技	【スライム呼び】	【スライム呼び	スライム呼び	スライム呼び	5					0											
575	13_星降りの決戦	僧侶	特技	【スライム合体】	【スライム合体	スライム合体	スライム合体	3					2											
576	11_英雄たちの凱旋	盗賊	ユニット	【スラッピー】	【スラッピー	スラッピー	スラッピー	4	3	6	スライム		0											
